task_id,submit_time,wait_time_secs,completion_time,execution_ms,status,error_msg
task_ce-140,2024-06-22 23:57:14.264406,28.887124,2024-06-22 23:57:53.359331,10.207797050476074,SUCCESS,
task_ce-144,2024-06-22 23:57:14.268808,32.225323,2024-06-22 23:57:53.409688,6.9155519008636475,SUCCESS,
task_ce-148,2024-06-22 23:57:14.276251,32.095758,2024-06-22 23:57:54.039563,7.667557001113892,SUCCESS,
task_ce-154,2024-06-22 23:57:14.283190,33.257028,2024-06-22 23:57:54.039753,6.499530076980591,SUCCESS,
task_ce-114,2024-06-22 23:57:14.235421,21.641108,2024-06-22 23:57:50.120657,14.244131088256836,SUCCESS,
task_ce-115,2024-06-22 23:57:14.236819,24.836256,2024-06-22 23:57:54.383550,15.310477018356323,SUCCESS,
task_ce-123,2024-06-22 23:57:14.245725,28.55056,2024-06-22 23:57:55.096734,12.300442934036255,SUCCESS,
task_ce-152,2024-06-22 23:57:14.280958,34.533788,2024-06-22 23:57:55.010805,6.196054220199585,SUCCESS,
task_ce-173,2024-06-22 23:57:14.304581,37.781678,2024-06-22 23:57:56.026346,3.9400861263275146,SUCCESS,
task_ce-155,2024-06-22 23:57:14.284203,34.233582,2024-06-22 23:57:56.028339,7.510546922683716,SUCCESS,
task_ce-145,2024-06-22 23:57:14.270122,32.952535,2024-06-22 23:57:55.808776,8.586117267608643,SUCCESS,
task_ce-142,2024-06-22 23:57:14.266398,30.678123,2024-06-22 23:57:56.174356,11.229828119277954,SUCCESS,
task_ce-157,2024-06-22 23:57:14.286335,34.546026,2024-06-22 23:57:56.446444,7.614068031311035,SUCCESS,
task_ce-165,2024-06-22 23:57:14.295501,35.999935,2024-06-22 23:57:56.756602,6.461158037185669,SUCCESS,
task_ce-107,2024-06-22 23:57:14.227584,23.035076,2024-06-22 23:57:56.756254,19.49358892440796,SUCCESS,
task_ce-117,2024-06-22 23:57:14.239467,31.263333,2024-06-22 23:57:56.754230,11.251429796218872,SUCCESS,
task_ce-168,2024-06-22 23:57:14.299007,35.998341,2024-06-22 23:57:56.589660,6.2923150062561035,SUCCESS,
task_ce-169,2024-06-22 23:57:14.300189,36.004075,2024-06-22 23:57:57.063995,6.75972580909729,SUCCESS,
task_ce-170,2024-06-22 23:57:14.301356,36.412412,2024-06-22 23:57:57.443169,6.72939920425415,SUCCESS,
task_ce-153,2024-06-22 23:57:14.282043,36.000305,2024-06-22 23:57:57.449508,7.167159080505371,SUCCESS,
task_ce-156,2024-06-22 23:57:14.285251,35.080861,2024-06-22 23:57:57.527271,8.16115403175354,SUCCESS,
task_ce-158,2024-06-22 23:57:14.287513,36.288575,2024-06-22 23:57:58.310790,7.734698057174683,SUCCESS,
task_ce-175,2024-06-22 23:57:14.306841,39.100704,2024-06-22 23:57:58.463042,5.055495977401733,SUCCESS,
task_ce-137,2024-06-22 23:57:14.261278,28.548016,2024-06-22 23:57:58.848057,16.038756847381592,SUCCESS,
task_ce-138,2024-06-22 23:57:14.262326,35.637192,2024-06-22 23:57:59.504805,9.6052827835083,SUCCESS,
task_ce-159,2024-06-22 23:57:14.288943,37.99896,2024-06-22 23:58:00.072705,7.784796953201294,SUCCESS,
task_ce-178,2024-06-22 23:57:14.310723,39.119236,2024-06-22 23:58:00.075408,6.6454408168792725,SUCCESS,
task_ce-180,2024-06-22 23:57:14.312840,39.130533,2024-06-22 23:58:01.054574,7.611195087432861,SUCCESS,
task_ce-179,2024-06-22 23:57:14.311795,39.122276,2024-06-22 23:58:01.053543,7.6194682121276855,SUCCESS,
task_ce-181,2024-06-22 23:57:14.314687,41.859934,2024-06-22 23:58:01.167742,4.993121147155762,SUCCESS,
task_ce-160,2024-06-22 23:57:14.290077,37.46249,2024-06-22 23:58:01.178434,9.425867080688477,SUCCESS,
task_ce-174,2024-06-22 23:57:14.305678,38.72728,2024-06-22 23:58:01.861139,8.828176021575928,SUCCESS,
task_ce-172,2024-06-22 23:57:14.303503,38.210279,2024-06-22 23:58:02.123528,9.609740972518921,SUCCESS,
task_ce-171,2024-06-22 23:57:14.302463,36.420675,2024-06-22 23:58:02.123141,11.400000810623169,SUCCESS,
task_ce-191,2024-06-22 23:57:14.326233,42.109377,2024-06-22 23:58:03.036847,6.601233959197998,SUCCESS,
task_ce-192,2024-06-22 23:57:14.327289,42.121584,2024-06-22 23:58:03.038396,6.589516639709473,SUCCESS,
task_ce-176,2024-06-22 23:57:14.308433,42.754243,2024-06-22 23:58:03.200610,6.1379358768463135,SUCCESS,
task_ce-196,2024-06-22 23:57:14.331600,43.112994,2024-06-22 23:58:03.532494,6.087900876998901,SUCCESS,
task_ce-195,2024-06-22 23:57:14.330438,43.113457,2024-06-22 23:58:03.532333,6.088436126708984,SUCCESS,
task_ce-198,2024-06-22 23:57:14.333757,43.112127,2024-06-22 23:58:03.691234,6.245350122451782,SUCCESS,
task_ce-177,2024-06-22 23:57:14.309625,39.733587,2024-06-22 23:58:04.039912,9.996700048446655,SUCCESS,
task_ce-200,2024-06-22 23:57:14.335837,43.122325,2024-06-22 23:58:03.906268,6.448103904724121,SUCCESS,
task_ce-201,2024-06-22 23:57:14.336880,43.138257,2024-06-22 23:58:04.895953,7.42081618309021,SUCCESS,
task_ce-197,2024-06-22 23:57:14.332705,43.112212,2024-06-22 23:58:04.988628,7.543712854385376,SUCCESS,
task_ce-161,2024-06-22 23:57:14.291188,35.614479,2024-06-22 23:57:59.592210,9.686542749404907,SUCCESS,
task_ce-162,2024-06-22 23:57:14.292423,35.614135,2024-06-22 23:58:05.377199,15.470639705657959,SUCCESS,
task_ce-163,2024-06-22 23:57:14.293384,40.088823,2024-06-22 23:58:05.379383,10.99717092514038,SUCCESS,
task_ce-28,2024-06-22 23:57:14.129960,0.428013,2024-06-22 23:58:05.382103,50.82412910461426,SUCCESS,
task_ce-188,2024-06-22 23:57:14.322928,40.791212,2024-06-22 23:58:06.126542,11.012399911880493,SUCCESS,
task_ce-199,2024-06-22 23:57:14.334810,43.11172,2024-06-22 23:58:05.348406,7.901878118515015,SUCCESS,
task_ce-202,2024-06-22 23:57:14.338152,47.788835,2024-06-22 23:58:06.220327,4.093339204788208,SUCCESS,
task_ce-193,2024-06-22 23:57:14.328391,42.134405,2024-06-22 23:58:06.059604,9.596806287765503,SUCCESS,
task_ce-194,2024-06-22 23:57:14.329402,44.897272,2024-06-22 23:58:06.439263,7.212582111358643,SUCCESS,
task_ce-183,2024-06-22 23:57:14.316904,39.734569,2024-06-22 23:58:07.084589,13.033115148544312,SUCCESS,
task_ce-185,2024-06-22 23:57:14.319002,39.735874,2024-06-22 23:58:07.082032,13.027155876159668,SUCCESS,
task_ce-187,2024-06-22 23:57:14.321697,40.789446,2024-06-22 23:58:07.757572,12.646425724029541,SUCCESS,
